name,symbol,weight
AMERICAN CAPITAL MORTGAGE INVESTME,MTGE,0.000458
BANCO LATINOAMERICANO DE COMERCIO,BLX,0.000457
ORITANI FINANCIAL CORP.,ORIT,0.000457
MERITOR INC.,MTOR,0.000456
USANA HEALTH SCIENCES INC.,USNA,0.000454
HANMI FINANCIAL CORP.,HAFC,0.000454
EAGLE PHARMACEUTICALS INC,EGRX,0.000454
SEABOARD CORP,SEB,0.000453
CALLAWAY GOLF CO.,ELY,0.000453
UNIVERSAL ELECTRONICS INC.,UEIC,0.000452
GLATFELTER,GLT,0.000451
BNC BANCORP,BNCN,0.000451
ADVANCED DRAINAGE SYSTEMS INC,WMS,0.000451
PHH CORP.,PHH,0.00045
A. SCHULMAN INC.,SHLM,0.000448
MAIDEN HOLDINGS LTD.,MHLD,0.000448
CLOVIS ONCOLOGY INC.,CLVS,0.000448
APOLLO EDUCATION GROUP INC CLASS A,APOL,0.000447
AGREE REALTY CORP.,ADC,0.000447
HIBBETT SPORTS INC.,HIBB,0.000445
CROCS INC.,CROX,0.000445
HANNON ARMSTRONG SUSTAINABLE INFRA,HASI,0.000443
RUSH ENTERPRISES INC. CL A,RUSHA,0.000442
RENT-A-CENTER INC.,RCII,0.000441
OCWEN FINANCIAL CORP,OCN,0.00044
HERON THERAPEUTICS INC,HRTX,0.000439
GENERAL COMMUNICATION INC. CL A,GNCMA,0.000439
GREEN PLAINS INC,GPRE,0.000438
MCDERMOTT INTERNATIONAL INC,MDR,0.000438
CARDINAL FINANCIAL CORP.,CFNL,0.000436
UTI WORLDWIDE INC.,UTIW,0.000434
WALKER & DUNLOP INC.,WD,0.000434
TRINET GROUP INCINARY,TNET,0.000433
ASTEC INDUSTRIES INC,ASTE,0.000433
ZIOPHARM ONCOLOGY INC.,ZIOP,0.000433
WESCO AIRCRAFT HOLDINGS INC.,WAIR,0.000432
ICF INTERNATIONAL INC.,ICFI,0.000432
GIBRALTAR INDUSTRIES INC.,ROCK,0.000432
HECLA MINING CO.,HL,0.000432
ROFIN-SINAR TECHNOLOGIES INC.,RSTI,0.000431
QUANEX BUILDING PRODUCTS CORP.,NX,0.000429
ACCO BRANDS CORP.,ACCO,0.000429
EXACT SCIENCES CORP.,EXAS,0.000428
CUSTOMERS BANCORP INC,CUBI,0.000427
SANDY SPRING BANCORP INC.,SASR,0.000427
VIRTUS INVESTMENT PARTNERS INC.,VRTS,0.000426
CITY HOLDING CO.,CHCO,0.000424
CENTERSTATE BANKS INC.,CSFL,0.000421
MONMOUTH REAL ESTATE INVESTMENT RE,MNR,0.000421
ACETO CORP.,ACET,0.00042
SPECTRANETICS CORP.,SPNC,0.000417
RELYPSA INC,RLYP,0.000416
CINCINNATI BELL INC.,CBB,0.000416
BROOKS AUTOMATION INC.,BRKS,0.000416
GREENHILL & CO.,GHL,0.000415
CAPITAL BANK FINANCIAL CORP.,CBF,0.000415
IXIA,XXIA,0.000414
EARTHLINK HOLDINGS CORP,ELNK,0.000414
ALTISOURCE RESIDENTIAL REIT CORP,RESI,0.000414
CLUBCORP HOLDINGS INC,MYCC,0.000413
CALAMP CORP.,CAMP,0.000412
ETHAN ALLEN INTERIORS INC.,ETH,0.000411
GIGAMON INC,GIMO,0.00041
U.S. CONCRETE INC.,USCR,0.00041
NATIONAL HEALTHCARE CORP,NHC,0.000408
ALDER BIOPHARMACEUTICALS INC,ALDR,0.000407
FERROGLOBE PLC,GSM,0.000407
PROVIDENCE SERVICE CORP,PRSC,0.000406
CEMPRA INC,CEMP,0.000406
INVENSENSE INC,INVN,0.000405
FIRST POTOMAC REALTY TRUST REIT,FPO,0.000405
ENDOLOGIX INC.,ELGX,0.000404
BOULDER BRANDS INC.,BDBD,0.000404
U.S. PHYSICAL THERAPY INC.,USPH,0.0004
SONIC AUTOMOTIVE INC. CL A,SAH,0.000399
AEGION CORP,AEGN,0.000399
CHUYS HOLDINGS INC,CHUY,0.000398
DELTIC TIMBER CORP.,DEL,0.000396
SYNERGY RESOURCES CORP,SYRG,0.000395
ENDURANCE INTERNATIONAL GROUP HOLD,EIGI,0.000394
RETROPHIN INC,RTRX,0.000393
SUN HYDRAULICS CORP.,SNHY,0.000393
SHUTTERSTOCK INC,SSTK,0.000392
UNIVERSAL INSURANCE HOLDINGS INC,UVE,0.000392
FORUM ENERGY TECHNOLOGIES INC,FET,0.000389
ALTRA INDUSTRIAL MOTION CORP,AIMC,0.000388
NAUTILUS INC.,NLS,0.000387
CASS INFORMATION SYSTEMS INC.,CASS,0.000387
YADKIN FINANCIAL CORP,YDKN,0.000386
PERFICIENT INC.,PRFT,0.000386
UNIVAR INC,UNVR,0.000386
CIRCOR INTERNATIONAL INC.,CIR,0.000386
NATIONAL BANK HOLDINGS CORPORATION,NBHC,0.000385
TRICO BANCSHARES,TCBK,0.000385
2U INC,TWOU,0.000384
CEDAR REALTY TRUST INC,CDR,0.000384
FLUSHING FINANCIAL CORP.,FFIC,0.000384
GLOBALSTAR VOTING INC,GSAT,0.000384
GREENBRIER INC,GBX,0.000383
IRIDIUM COMMUNICATIONS INC.,IRDM,0.000383
ECHO GLOBAL LOGISTICS INC,ECHO,0.000382
UNITED FINANCIAL BANCORP INC,UBNK,0.000379
TOOTSIE ROLL INDUSTRIES INC,TR,0.000379
MOTORCAR PARTS OF AMERICA INC.,MPAA,0.000379
VIAD CORP.,VVI,0.000378
MERCURY SYSTEMS INC.,MRCY,0.000378
NEWPORT CORP.,NEWP,0.000376
STRAYER EDUCATION INC.,STRA,0.000376
RUTHS HOSPITALITY GROUP INC.,RUTH,0.000375
RENTRAK CORP.,RENT,0.000374
COMPUTER PROGRAMS & SYSTEMS INC.,CPSI,0.000373
AMKOR TECHNOLOGY INC.,AMKR,0.000373
FREDS INC.,FRED,0.000371
INOGEN INC,INGN,0.00037
BIGLARI HOLDINGS INC.,BH,0.000369
RAVEN INDUSTRIES INC.,RAVN,0.000369
INSYS THERAPEUTICS INC.,INSY,0.000368
FBL FINANCIAL GROUP INC. CL A,FFG,0.000367
HERITAGE FINANCIAL CORP.,HFWA,0.000367
LATTICE SEMICONDUCTOR CORP.,LSCC,0.000367
COHEN & STEERS INC.,CNS,0.000367
RPX CORP.,RPXC,0.000367
GENOMIC HEALTH INC.,GHDX,0.000367
AMERICAN RESIDENTIAL PROPERTIES RE,ARPI,0.000366
NUTRISYSTEM INC.,NTRI,0.000364
MCGRATH RENTCORP,MGRC,0.000364
SAGE THERAPEUTICS INC,SAGE,0.000364
INC RESEARCH HOLDINGS INC CLASS A,INCR,0.000364
KFORCE INC.,KFRC,0.000362
WASHINGTON TRUST BANCORP INC.,WASH,0.000361
OUTERWALL INC,OUTR,0.00036
CENTRAL GARDEN & PET CO. CL A,CENTA,0.00036
ANIKA THERAPEUTICS INC.,ANIK,0.000359
DHT HOLDINGS INC,DHT,0.000359
TEAM INC,TISI,0.000359
BIOCRYST PHARMACEUTICALS INC.,BCRX,0.000358
CARMIKE CINEMAS INC.,CKEC,0.000358
NEWLINK GENETICS CORP.,NLNK,0.000358
INTERVAL LEISURE GROUP INC.,IILG,0.000356
ZOES KITCHEN INC,ZOES,0.000355
NEW YORK MORTGAGE TRUST REIT INC,NYMT,0.000355
ENGILITY HOLDINGS INC,EGL,0.000353
TRUSTCO BANK CORP.,TRST,0.000353
INTELIQUENT INC,IQNT,0.000353
ENTERPRISE FINANCIAL SERVICES CORP,EFSC,0.000353
SILVER BAY REALTY REIT CORP TRUST,SBY,0.000352
MENS WEARHOUSE INC.,MW,0.00035
GRIFFON CORP.,GFF,0.00035
STOCK YARDS BANCORP INC,SYBT,0.00035
FIRST INTERSTATE BANCSYSTEM INC. C,FIBK,0.00035
INCONTACT INC.,SAAS,0.000349
SOUTHSIDE BANCSHARES INC.,SBSI,0.000349
ATRICURE INC.,ATRC,0.000348
RESOURCES CONNECTION INC.,RECN,0.000348
PAYLOCITY HOLDING CORP,PCTY,0.000347
ATRION CORP.,ATRI,0.000347
WINDSTREAM HOLDINGS INC,WIN,0.000347
XURA INC,MESG,0.000346
GENERAL CABLE CORP.,BGC,0.000346
EPLUS INC.,PLUS,0.000345
SHORETEL INC.,SHOR,0.000345
TUTOR PERINI CORP.,TPC,0.000345
HEARTLAND FINANCIAL USA INC.,HTLF,0.000345
GERON CORP.,GERN,0.000344
WALTER INVESTMENT MANAGEMENT CORP.,WAC,0.000344
FRONTLINE LTD.,FRO,0.000344
TRIPLE-S MANAGEMENT CORP. CL B,GTS,0.000344
CTS CORP.,CTS,0.000343
CONNECTONE BANCORP INC,CNOB,0.000343
REGIS CORP.,RGS,0.000341
COMMUNITY TRUST BANCORP INC.,CTBI,0.000341
MATRIX SERVICE CO.,MTRX,0.000341
UNIVERSAL HEALTH REALTY INCOME TRU,UHT,0.000341
AEROVIRONMENT INC.,AVAV,0.000341
PIPER JAFFRAY COS.,PJC,0.00034
INVESTMENT TECHNOLOGY GROUP INC.,ITG,0.000339
CERUS CORP.,CERS,0.000338
INGLES MARKETS INC.,IMKTA,0.000338
