name,symbol,weight
SunTrust Banks Inc.,STI,0.00118497
Electronic Arts Inc.,EA,0.00117696
CBS Corporation Class B,CBS,0.00117641
Public Service Enterprise Group Incorporated,PEG,0.00117051
Consolidated Edison Inc.,ED,0.0011689
V.F. Corporation,VFC,0.00115934
Edison International,EIX,0.00115457
HP Inc.,HPQ,0.00114868
Sherwin-Williams Company,SHW,0.00114829
Equinix Inc,EQIX,0.00114512
Baxter International Inc.,BAX,0.00114076
Applied Materials Inc.,AMAT,0.00112324
Estee Lauder Companies Inc. Class A,EL,0.00111438
Pioneer Natural Resources Company,PXD,0.00111152
AmerisourceBergen Corporation,ABC,0.00109778
Ventas Inc.,VTR,0.0010967
Xcel Energy Inc.,XEL,0.00109588
United Continental Holdings Inc.,UAL,0.00109315
Boston Properties Inc.,BXP,0.00108992
Kellogg Company,K,0.00108374
Cerner Corporation,CERN,0.00106948
Dollar Tree Inc.,DLTR,0.00106489
Progressive Corporation,PGR,0.0010618
Anadarko Petroleum Corporation,APC,0.00105972
Activision Blizzard Inc,ATVI,0.00105268
Zimmer Biomet Holdings Inc.,ZBH,0.00104625
Dr Pepper Snapple Group Inc.,DPS,0.0010369
M&T Bank Corporation,MTB,0.00103099
Roper Technologies Inc.,ROP,0.00102757
Baker Hughes Incorporated,BHI,0.00102675
ConAgra Foods Inc.,CAG,0.00102482
HCP Inc.,HCP,0.00101667
Omnicom Group Inc,OMC,0.00101105
Fidelity National Information Services Inc.,FIS,0.00100194
Hartford Financial Services Group Inc.,HIG,0.00099964
Clorox Company,CLX,0.00099049
Vornado Realty Trust,VNO,0.00098854
Nielsen Holdings Plc,NLSN,0.00098705
T. Rowe Price Group,TROW,0.00098308
Spectra Energy Corp,SE,0.00098083
WEC Energy Group Inc,WEC,0.00097769
Ameriprise Financial Inc.,AMP,0.00097148
Willis Towers Watson Public Limited Company,WLTW,0.00096959
Eversource Energy,ES,0.00096917
Edwards Lifesciences Corporation,EW,0.00096304
Tyson Foods Inc. Class A,TSN,0.00094792
Analog Devices Inc.,ADI,0.00094029
St. Jude Medical Inc.,STJ,0.00093947
PACCAR Inc,PCAR,0.00093476
Essex Property Trust Inc.,ESS,0.00092237
Royal Caribbean Cruises Ltd.,RCL,0.00091786
Alliance Data Systems Corporation,ADS,0.0009178
Moodys Corporation,MCO,0.00091243
International Paper Company,IP,0.00091107
General Growth Properties Inc.,GGP,0.00090306
Paychex Inc.,PAYX,0.00090164
NVIDIA Corporation,NVDA,0.00089552
SanDisk Corporation,SNDK,0.00088079
Stanley Black & Decker Inc.,SWK,0.0008699
DTE Energy Company,DTE,0.00086161
Amphenol Corporation Class A,APH,0.00085867
J. M. Smucker Company,SJM,0.00085449
Northern Trust Corporation,NTRS,0.00085085
Viacom Inc. Class B,VIAB,0.00084986
Cummins Inc.,CMI,0.00084642
Red Hat Inc.,RHT,0.00083902
Fifth Third Bancorp,FITB,0.00083569
Symantec Corporation,SYMC,0.00083257
Molson Coors Brewing Company Class B,TAP,0.00083222
Weyerhaeuser Company,WY,0.00082659
Mead Johnson Nutrition Company,MJN,0.00082211
Level 3 Communications Inc.,LVLT,0.00082039
Ingersoll-Rand Plc,IR,0.00081915
Apache Corporation,APA,0.00081269
Chipotle Mexican Grill Inc.,CMG,0.00080614
Micron Technology Inc.,MU,0.00079086
FirstEnergy Corp.,FE,0.00079081
C. R. Bard Inc.,BCR,0.00078247
Under Armour Inc. Class A,UA,0.00077776
Realty Income Corporation,O,0.00077518
Franklin Resources Inc.,BEN,0.00076665
CenturyLink Inc.,CTL,0.00076294
Rockwell Automation Inc.,ROK,0.00075322
Tyco International PLC,TYC,0.00075116
Invesco Ltd.,IVZ,0.0007476
Parker-Hannifin Corporation,PH,0.00074496
Expedia Inc.,EXPE,0.0007442
Agilent Technologies Inc.,A,0.00073923
Macys Inc,M,0.00073355
Entergy Corporation,ETR,0.00072683
Equifax Inc.,EFX,0.00072507
Hershey Company,HSY,0.00072502
Henry Schein Inc.,HSIC,0.00072438
Noble Energy Inc.,NBL,0.00071563
Skyworks Solutions Inc.,SWKS,0.00071214
Genuine Parts Company,GPC,0.00070528
Hanesbrands Inc.,HBI,0.00070378
Marriott International Inc. Class A,MAR,0.00070161
Rockwell Collins Inc.,COL,0.00069729
AMETEK Inc.,AME,0.00069267
Western Digital Corporation,WDC,0.00069242
Autodesk Inc.,ADSK,0.00068938
Laboratory Corporation of America Holdings,LH,0.000683
Nucor Corporation,NUE,0.00068049
Tesoro Corporation,TSO,0.00068021
Cameron International Corporation,CAM,0.00068003
Fastenal Company,FAST,0.00067647
DaVita HealthCare Partners Inc.,DVA,0.00067598
Verisk Analytics Inc,VRSK,0.00066891
Regions Financial Corporation,RF,0.00066832
Vulcan Materials Company,VMC,0.00066802
Twenty-First Century Fox Inc. Class B,FOX,0.00066796
Tractor Supply Company,TSCO,0.00066713
National Oilwell Varco Inc.,NOV,0.00065949
Endo International Plc,ENDP,0.00065868
Lam Research Corporation,LRCX,0.00065439
Xilinx Inc.,XLNX,0.00065405
Mohawk Industries Inc.,MHK,0.00064725
W.W. Grainger Inc.,GWW,0.00064687
Whole Foods Market Inc.,WFM,0.00064343
Lincoln National Corporation,LNC,0.00063305
Republic Services Inc.,RSG,0.00063258
Keurig Green Mountain Inc.,GMCR,0.00063203
Macerich Company,MAC,0.00063093
Textron Inc.,TXT,0.00063025
XL Group Plc,XL,0.00062948
Principal Financial Group Inc.,PFG,0.00062836
Harris Corporation,HRS,0.0006278
Hormel Foods Corporation,HRL,0.00062546
Advance Auto Parts Inc.,AAP,0.00062483
Starwood Hotels & Resorts Worldwide Inc.,HOT,0.00062438
Citrix Systems Inc.,CTXS,0.00062427
Kimco Realty Corporation,KIM,0.00062087
Ameren Corporation,AEE,0.0006181
Church & Dwight Co. Inc.,CHD,0.00061411
Waters Corporation,WAT,0.00061304
KLA-Tencor Corporation,KLAC,0.00061237
Whirlpool Corporation,WHR,0.0006116
Newell Rubbermaid Inc.,NWL,0.00061107
SL Green Realty Corp.,SLG,0.00060881
Loews Corporation,L,0.00060513
Host Hotels & Resorts Inc.,HST,0.00060234
Motorola Solutions Inc.,MSI,0.00060068
Signet Jewelers Limited,SIG,0.00059983
KeyCorp,KEY,0.00059641
Universal Health Services Inc. Class B,UHS,0.00059534
